rest_name,tdidf
india-chaat-cuisine-sunnyvale,1.080067447261644
bombay-to-goa-sunnyvale,0.7506786911425745
chaat-bhavan-sunnyvale-2,0.6280975108677246
curry-up-now-san-jose,0.5715547642649491
bhavikas-indian-vegetarian-food-sunnyvale-2,0.26549847798182613
bombay-chaat-house-milpitas-2,0.18130585139796876
chaat-house-sunnyvale,0.17866015005551852
bikaner-sweets-chaat-cafe-sunnyvale-2,0.12323077908933083
bangalore-cafe-santa-clara,0.07070283156658658
turmeric-restaurant-sunnyvale,0.0246471600764381
new-india-chaat-cafe-san-jose-2,0.012523336636401839
pizza-pub-sunnyvale,0.005402444586549792
bombay-to-goa-sunnyvale,1.3586349965699864
india-chaat-cuisine-sunnyvale,1.3306424245472381
curry-up-now-san-jose,0.795297726340821
chaat-bhavan-sunnyvale-2,0.5391027533872275
bhavikas-indian-vegetarian-food-sunnyvale-2,0.1910635883185139
bikaner-sweets-chaat-cafe-sunnyvale-2,0.18075427681822676
bangalore-cafe-santa-clara,0.09516659886277296
chaat-house-sunnyvale,0.054847121080343356
turmeric-restaurant-sunnyvale,0.034995446564173416
new-india-chaat-cafe-san-jose-2,0.013607842666683233
pizza-pub-sunnyvale,0.005776958215086813
india-chaat-cuisine-sunnyvale,3.125135737333332
chaat-bhavan-sunnyvale-2,0.9274125251164366
bombay-to-goa-sunnyvale,0.8023498303570593
bikaner-sweets-chaat-cafe-sunnyvale-2,0.4674103844914778
bhavikas-indian-vegetarian-food-sunnyvale-2,0.3039020180882097
bangalore-cafe-santa-clara,0.1491310136644775
chaat-house-sunnyvale,0.10822235582082627
turmeric-restaurant-sunnyvale,0.06030813865530144
new-india-chaat-cafe-san-jose-2,0.014897987902970786
pizza-pub-sunnyvale,0.006207263854217504
india-chaat-cuisine-sunnyvale,2.0940073228645084
bombay-to-goa-sunnyvale,1.964364666708412
bangalore-cafe-santa-clara,0.37982784065610165
bikaner-sweets-chaat-cafe-sunnyvale-2,0.2756558772278227
turmeric-restaurant-sunnyvale,0.21604819876377973
chaat-bhavan-sunnyvale-2,0.21046685076686847
bhavikas-indian-vegetarian-food-sunnyvale-2,0.17877186086574648
new-india-chaat-cafe-san-jose-2,0.016458385724020776
pizza-pub-sunnyvale,0.006706831889599107
bombay-to-goa-sunnyvale,3.0870402798696928
india-chaat-cuisine-sunnyvale,2.174815861663311
chaat-bhavan-sunnyvale-2,0.32116057998147757
bhavikas-indian-vegetarian-food-sunnyvale-2,0.293233962839343
bikaner-sweets-chaat-cafe-sunnyvale-2,0.08349567839340387
new-india-chaat-cafe-san-jose-2,0.01838388497227301
bangalore-cafe-santa-clara,0.010878252903126563
pizza-pub-sunnyvale,0.0072938485571547584
india-chaat-cuisine-sunnyvale,1.0963647340985305
chaat-bhavan-sunnyvale-2,0.32868122219156864
bhavikas-indian-vegetarian-food-sunnyvale-2,0.23817095294029253
bikaner-sweets-chaat-cafe-sunnyvale-2,0.1278599381854032
new-india-chaat-cafe-san-jose-2,0.020819598087494
bangalore-cafe-santa-clara,0.012058844928467939
pizza-pub-sunnyvale,0.007993477571320228
india-chaat-cuisine-sunnyvale,1.5538085659988015
chaat-bhavan-sunnyvale-2,0.6798617498089091
bikaner-sweets-chaat-cafe-sunnyvale-2,0.2725775133527365
bhavikas-indian-vegetarian-food-sunnyvale-2,0.16421389893891639
new-india-chaat-cafe-san-jose-2,0.0239992798048011
bangalore-cafe-santa-clara,0.013526880198051483
pizza-pub-sunnyvale,0.008841561369492656
india-chaat-cuisine-sunnyvale,2.6034561238586362
bhavikas-indian-vegetarian-food-sunnyvale-2,0.6122704674278228
chaat-bhavan-sunnyvale-2,0.38596775420911167
new-india-chaat-cafe-san-jose-2,0.028325206207214616
bangalore-cafe-santa-clara,0.015401883265974626
pizza-pub-sunnyvale,0.009890957927775479
india-chaat-cuisine-sunnyvale,2.002451815311573
chaat-bhavan-sunnyvale-2,0.3081376049193435
bhavikas-indian-vegetarian-food-sunnyvale-2,0.05289642381626983
new-india-chaat-cafe-san-jose-2,0.03455341399748292
bangalore-cafe-santa-clara,0.01788030597718393
pizza-pub-sunnyvale,0.011222997432500503
india-chaat-cuisine-sunnyvale,1.3009631773725756
chaat-bhavan-sunnyvale-2,0.9026660201222424
bhavikas-indian-vegetarian-food-sunnyvale-2,0.06265697393728754
new-india-chaat-cafe-san-jose-2,0.04429208717607736
bangalore-cafe-santa-clara,0.021309279539157535
pizza-pub-sunnyvale,0.012969635618513786
india-chaat-cuisine-sunnyvale,2.353072675279307
chaat-bhavan-sunnyvale-2,0.10342998179814158
bhavikas-indian-vegetarian-food-sunnyvale-2,0.07722302097425204
new-india-chaat-cafe-san-jose-2,0.061672728998296476
bangalore-cafe-santa-clara,0.026365334957655497
pizza-pub-sunnyvale,0.015360101802151948
india-chaat-cuisine-sunnyvale,1.0165149410881993
chaat-bhavan-sunnyvale-2,0.19777941247324338
bhavikas-indian-vegetarian-food-sunnyvale-2,0.10151050418150015
new-india-chaat-cafe-san-jose-2,0.10148725292472811
bangalore-cafe-santa-clara,0.03456655171418204
pizza-pub-sunnyvale,0.018830773862365445
india-chaat-cuisine-sunnyvale,1.284343009673116
chaat-bhavan-sunnyvale-2,0.3816809795248377
new-india-chaat-cafe-san-jose-2,0.2853919622613881
bhavikas-indian-vegetarian-food-sunnyvale-2,0.1509492153325516
bangalore-cafe-santa-clara,0.05017096750764108
pizza-pub-sunnyvale,0.024327418721880798
india-chaat-cuisine-sunnyvale,0.7884129070213286
bhavikas-indian-vegetarian-food-sunnyvale-2,0.31733268599844394
bangalore-cafe-santa-clara,0.09142657896773443
pizza-pub-sunnyvale,0.034354436480025896
india-chaat-cuisine-sunnyvale,1.0604929686973228
bhavikas-indian-vegetarian-food-sunnyvale-2,0.7095145501964804
bangalore-cafe-santa-clara,0.4941339610352244
pizza-pub-sunnyvale,0.058430460327420074
india-chaat-cuisine-sunnyvale,0.5240804390176312
pizza-pub-sunnyvale,0.19401473661327795
bhavikas-indian-vegetarian-food-sunnyvale-2,0.011844600669288675
india-chaat-cuisine-sunnyvale,0.32962542047909255
bhavikas-indian-vegetarian-food-sunnyvale-2,0.013257879955643138
india-chaat-cuisine-sunnyvale,0.6650074016685745
bhavikas-indian-vegetarian-food-sunnyvale-2,0.015054101693705402
india-chaat-cuisine-sunnyvale,1.0598129948793105
bhavikas-indian-vegetarian-food-sunnyvale-2,0.017413292831112415
india-chaat-cuisine-sunnyvale,1.1135605307181087
bhavikas-indian-vegetarian-food-sunnyvale-2,0.020649286250589594
bhavikas-indian-vegetarian-food-sunnyvale-2,0.025362393206859582
bhavikas-indian-vegetarian-food-sunnyvale-2,0.03286288010191747
bhavikas-indian-vegetarian-food-sunnyvale-2,0.04666059541889789
bhavikas-indian-vegetarian-food-sunnyvale-2,0.08041085154040194
madras-cafe-sunnyvale,24.22944876494828
ananda-bhavan-sunnyvale,10.246914411910534
ugadi-sunnyvale,6.06754843011439
ulavacharu-sunnyvale-2,5.501246263902194
amaravathi-indian-pure-vegetarian-restaurant-sunnyvale-2,4.987879876181335
amruta-vilas-sunnyvale,4.704426612168087
madurai-modern-cafe-sunnyvale,4.600144502590183
arusuvai-santa-clara,4.408970768154555
madurai-idli-kadai-sunnyvale,4.112652556887579
saravanaa-bhavan-sunnyvale-2,3.9438312424411013
sankranti-sunnyvale,3.743462894382115
sangeetha-sunnyvale-2,3.3891368405009734
komala-vilas-sunnyvale,2.8384400167577
indian-street-cafe-sunnyvale,2.7756638827710267
