,rest_cnt,review_cnt,review_link
56,57,162,https://www.yelp.com//biz/best-desi-pizza-campbell?osq=Indian+Vegetarian+Restaurant
57,58,33,https://www.yelp.com//biz/sansar-indian-cuisine-and-banquet-hall-sunnyvale-3?osq=Indian+Vegetarian+Restaurant
58,59,432,https://www.yelp.com//biz/the-green-barn-milpitas?osq=Indian+Vegetarian+Restaurant
59,60,487,https://www.yelp.com//biz/red-chillies-milpitas-2?osq=Indian+Vegetarian+Restaurant
60,61,148,https://www.yelp.com//biz/via-mia-pizza-santa-clara-3?osq=Indian+Vegetarian+Restaurant
61,62,151,https://www.yelp.com//biz/sris-kitchen-san-jose?osq=Indian+Vegetarian+Restaurant
62,63,685,https://www.yelp.com//biz/new-india-chaat-cafe-san-jose-2?osq=Indian+Vegetarian+Restaurant
63,64,405,https://www.yelp.com//biz/tirupathi-bhimas-milpitas?osq=Indian+Vegetarian+Restaurant
64,65,164,https://www.yelp.com//biz/3-3-3-fremont?osq=Indian+Vegetarian+Restaurant
65,66,7,https://www.yelp.com//biz/pav-bhaji-hut-san-jose-2?osq=Indian+Vegetarian+Restaurant
66,67,468,https://www.yelp.com//biz/india-chaat-cuisine-sunnyvale?osq=Indian+Vegetarian+Restaurant
67,68,1165,https://www.yelp.com//biz/walia-ethiopian-cuisine-san-jose?osq=Indian+Vegetarian+Restaurant
68,69,134,https://www.yelp.com//biz/delhiwala-chaat-sunnyvale-5?osq=Indian+Vegetarian+Restaurant
69,70,252,https://www.yelp.com//biz/delhi-chaat-sunnyvale-2?osq=Indian+Vegetarian+Restaurant
70,71,65,https://www.yelp.com//biz/karimi-san-jose?osq=Indian+Vegetarian+Restaurant
71,72,961,https://www.yelp.com//biz/saravanaa-bhavan-sunnyvale-2?osq=Indian+Vegetarian+Restaurant
72,73,1088,https://www.yelp.com//biz/amber-india-restaurant-san-jose?osq=Indian+Vegetarian+Restaurant
73,74,76,https://www.yelp.com//biz/dosateria-cupertino?osq=Indian+Vegetarian+Restaurant
74,75,824,https://www.yelp.com//biz/loving-hut-milpitas-milpitas?osq=Indian+Vegetarian+Restaurant
75,76,234,https://www.yelp.com//biz/pesarattu-santa-clara?osq=Indian+Vegetarian+Restaurant
76,77,232,https://www.yelp.com//biz/kings-of-punjab-sunnyvale-2?osq=Indian+Vegetarian+Restaurant
77,78,124,https://www.yelp.com//biz/tandoori-grill-san-jose-2?osq=Indian+Vegetarian+Restaurant
78,79,970,https://www.yelp.com//biz/good-karma-artisan-ales-and-caf%C3%A9-san-jose?osq=Indian+Vegetarian+Restaurant
79,80,40,https://www.yelp.com//biz/moms-pot-biryani-san-jose?osq=Indian+Vegetarian+Restaurant
80,81,41,https://www.yelp.com//biz/telangana-ruchulu-milpitas-3?osq=Indian+Vegetarian+Restaurant
81,82,1056,https://www.yelp.com//biz/el-camino-mongolian-bbq-santa-clara?osq=Indian+Vegetarian+Restaurant
82,83,318,https://www.yelp.com//biz/ichaat-cafe-sunnyvale-3?osq=Indian+Vegetarian+Restaurant
83,84,69,https://www.yelp.com//biz/namaste-nepal-food-truck-mountain-view-2?osq=Indian+Vegetarian+Restaurant
84,85,528,https://www.yelp.com//biz/curry-up-now-san-jose?osq=Indian+Vegetarian+Restaurant
85,86,227,https://www.yelp.com//biz/rasams-sunnyvale-2?osq=Indian+Vegetarian+Restaurant
86,87,940,https://www.yelp.com//biz/himalayan-kitchen-mountain-view?osq=Indian+Vegetarian+Restaurant
87,88,210,https://www.yelp.com//biz/everest-cuisine-mountain-view-2?osq=Indian+Vegetarian+Restaurant
88,89,60,https://www.yelp.com//biz/curry-on-wheels-san-jose-2?osq=Indian+Vegetarian+Restaurant
89,90,189,https://www.yelp.com//biz/swathi-tiffins-sunnyvale?osq=Indian+Vegetarian+Restaurant
90,91,136,https://www.yelp.com//biz/sagar-sweets-restaurant-san-jose?osq=Indian+Vegetarian+Restaurant
91,92,231,https://www.yelp.com//biz/biryani-and-kababs-sunnyvale-2?osq=Indian+Vegetarian+Restaurant
92,93,36,https://www.yelp.com//biz/radhe-chaat-express-sunnyvale?osq=Indian+Vegetarian+Restaurant
93,94,970,https://www.yelp.com//biz/tofoo-com-chay-san-jose-2?osq=Indian+Vegetarian+Restaurant
94,95,237,https://www.yelp.com//biz/thalappakatti-restaurant-milpitas?osq=Indian+Vegetarian+Restaurant
95,96,545,https://www.yelp.com//biz/the-mynt-san-jose?osq=Indian+Vegetarian+Restaurant
96,97,131,https://www.yelp.com//biz/chennai-kings-express-san-jose?osq=Indian+Vegetarian+Restaurant
97,98,692,https://www.yelp.com//biz/turmeric-restaurant-sunnyvale?osq=Indian+Vegetarian+Restaurant
98,99,97,https://www.yelp.com//biz/urban-momo-san-jose?osq=Indian+Vegetarian+Restaurant
99,100,95,https://www.yelp.com//biz/maiwand-kabob-house-santa-clara?osq=Indian+Vegetarian+Restaurant
100,101,100,https://www.yelp.com//biz/chennai-grill-sunnyvale?osq=Indian+Vegetarian+Restaurant
101,102,437,https://www.yelp.com//biz/garlic-turkish-and-mediterranean-restaurant-santa-clara?osq=Indian+Vegetarian+Restaurant
102,103,132,https://www.yelp.com//biz/bombay-chaat-house-milpitas-2?osq=Indian+Vegetarian+Restaurant
103,104,61,https://www.yelp.com//biz/chaat-palace-san-jose?osq=Indian+Vegetarian+Restaurant
104,105,244,https://www.yelp.com//biz/pizza-pub-sunnyvale?osq=Indian+Vegetarian+Restaurant
105,106,72,https://www.yelp.com//biz/flavors-of-india-san-jose?osq=Indian+Vegetarian+Restaurant
106,107,132,https://www.yelp.com//biz/ananda-bhavan-milpitas-milpitas?osq=Indian+Vegetarian+Restaurant
107,108,333,https://www.yelp.com//biz/chaat-house-sunnyvale?osq=Indian+Vegetarian+Restaurant
108,109,583,https://www.yelp.com//biz/new-tandoori-cafe-san-jose-2?osq=Indian+Vegetarian+Restaurant
109,110,556,https://www.yelp.com//biz/sus-mongolian-bbq-santa-clara-2?osq=Indian+Vegetarian+Restaurant
110,111,57,https://www.yelp.com//biz/tarka-tandoori-san-jose?osq=Indian+Vegetarian+Restaurant
111,112,96,https://www.yelp.com//biz/bikaner-indian-cuisine-saratoga?osq=Indian+Vegetarian+Restaurant
112,113,412,https://www.yelp.com//biz/aachi-aappakadai-sunnyvale?osq=Indian+Vegetarian+Restaurant
113,114,375,https://www.yelp.com//biz/hyderabad-dum-biryani-milpitas?osq=Indian+Vegetarian+Restaurant
114,115,281,https://www.yelp.com//biz/milan-indian-cuisine-milpitas?osq=Indian+Vegetarian+Restaurant
115,116,441,https://www.yelp.com//biz/rajjot-sweet-and-snacks-sunnyvale?osq=Indian+Vegetarian+Restaurant
116,117,134,https://www.yelp.com//biz/mortar-and-pestle-bar-san-jose?osq=Indian+Vegetarian+Restaurant
117,118,246,https://www.yelp.com//biz/swagat-indian-cuisine-milpitas?osq=Indian+Vegetarian+Restaurant
118,119,899,https://www.yelp.com//biz/gulzaar-halal-restaurant-and-catering-san-jose-7?osq=Indian+Vegetarian+Restaurant
119,120,380,https://www.yelp.com//biz/veggie-grill-san-jose-3?osq=Indian+Vegetarian+Restaurant
120,121,755,https://www.yelp.com//biz/anjappar-chettinad-indian-restaurant-milpitas?osq=Indian+Vegetarian+Restaurant
121,122,315,https://www.yelp.com//biz/parktown-pizza-company-milpitas?osq=Indian+Vegetarian+Restaurant
122,123,322,https://www.yelp.com//biz/pista-house-milpitas-milpitas?osq=Indian+Vegetarian+Restaurant
123,124,34,https://www.yelp.com//biz/tandoor-house-san-jose?osq=Indian+Vegetarian+Restaurant
124,125,3172,https://www.yelp.com//biz/yard-house-san-jose-2?osq=Indian+Vegetarian+Restaurant
125,126,132,https://www.yelp.com//biz/saravana-bhavan-milpitas?osq=Indian+Vegetarian+Restaurant
126,127,663,https://www.yelp.com//biz/shah-restaurant-sunnyvale?osq=Indian+Vegetarian+Restaurant
127,128,550,https://www.yelp.com//biz/tandoori-oven-san-jose-2?osq=Indian+Vegetarian+Restaurant
128,129,304,https://www.yelp.com//biz/bikaner-sweets-chaat-cafe-sunnyvale-2?osq=Indian+Vegetarian+Restaurant
129,130,306,https://www.yelp.com//biz/cafe-falafel-grill-santa-clara?osq=Indian+Vegetarian+Restaurant
130,131,73,https://www.yelp.com//biz/aria-dining-and-banquets-milpitas?osq=Indian+Vegetarian+Restaurant
131,132,3,https://www.yelp.com//biz/moveable-feast-santa-clara?osq=Indian+Vegetarian+Restaurant
132,133,254,https://www.yelp.com//biz/milan-sweet-center-milpitas?osq=Indian+Vegetarian+Restaurant
